半夏,竹茹,柴胡,桔梗,陈皮,麦冬
半夏,竹茹,钩藤,陈皮,生磁石,葛根
杏仁,远志,当归,羚羊粉,琥珀粉,郁金
半夏,槟榔,紫苏,白术,陈皮,木香
远志,琥珀,郁金,菖蒲,人参,茯苓
半夏,远志,紫苏,茯神,茯苓,厚朴
半夏,天南星,槟榔,陈皮,益智仁,枳实
半夏,紫苏,菖蒲,木香,茯苓,白芷
半夏,海藻,当归,党参,夏枯草,白术
半夏,桔梗,白术,枳实,茯苓,香附
杏仁,款冬花,桔梗,麦冬,黄芩,银花
半夏,海藻,昆布,当归,苦参,白僵蚕
半夏,竹茹,当归,地黄,桔梗,陈皮
半夏,茅术,陈皮,茯苓,枳壳,生姜
玄明粉,柿霜,白粉,硼砂,乌梅肉,寒水石
胆南星,川连,苏叶子,陈皮,于术,蒌子
竹茹,焦三仙,干青果,陈皮
炙桑白皮,三仙饮
焦三仙,陈皮
胆南星,黑附子,全蝎,当归,僵蚕,苍术
贝母,海藻,柴胡,漏芦,连翘,地丁
半夏,干姜,桂枝,黄芩,栀子,白芍
半夏,天南星,桔梗,陈皮,栝楼,辰砂
贝母,半夏,黄耆,当归,柴胡,鳖甲
贝母,半夏,芍药,天南星,地黄,白术
百部,穿心莲,玉竹,葎草,黄精,白及
倭硫,朱砂
半夏,半夏,桔梗,紫苏,藿香,陈皮
杏仁,薄荷,陈皮,苏叶,桂枝,茯苓
杏仁,葶苈,木通,天冬,百合,石膏
半夏,醋2500毫升
款冬花,钟乳粉,川姜,白术,人参,甘草
杏仁,款冬花,麻黄,甘草
川朴,榔片,灵脂,生芍,玄胡,陈皮
半夏,桔梗,桂,枳壳
生老姜,厚朴
半夏,天南星,葶苈,白术,黑牵牛,木香
半夏,京三棱,大腹子,木香,青皮
生龙脑,朱砂,生犀角,阿胶,人参,麦门冬
生龙脑,朱砂,生犀角,阿胶,人参,麦门冬
鸡苏叶,桔梗,龙脑,紫苏,黍粘子,瓜蒌根
半夏,天南星,草龙脑,白矾
半夏,龙骨,白术,附片,茯苓,牡蛎
白芥子,杏仁,蛤壳,紫苏,龙延香,牛蒡
白芥子,杏仁,蛤壳,紫苏,牛蒡,回克
白芥子,杏仁,蛤壳,紫苏,桅子,瓜萎皮
万年干,青礞石,硼砂,石膏
桔梗,上广皮,京元参,细川连,淡条芩,香附
紫菀,杏仁,款冬花,桔梗,五味子,紫苏
新鲜萝卜约,粳米
新鲜白萝卜
贝母,莱菔,冰糖,白糖,白果仁,豆腐皮
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
醋,绿茶
杏仁,葶苈,桔梗,马兜铃,陈皮,茯苓
半夏,党参,桔梗,陈皮,葛根,木香
半夏,干姜,苏子,白术,茯苓,人参
半夏,干姜,白术,茯苓,人参,甘草
贝母,萝卜,麦冬,鲜藕,秋梨,鲜姜
半夏,茴香,草乌,茯苓,香附,细辛
莱菔,槟榔,桔梗,茅术,麦芽,藿香
贝母,桔梗,元参,牛蒡,山栀,荆芥
半夏,胆南星,川椒,款冬花,杏仁,紫菀
半夏,杏仁,陈皮,茯苓,甘草
半夏,白术,陈皮,茯苓,人参,甘草
半夏,款冬花,杏仁,苏子,黄芩,厚朴
半夏,菊花,清炙草,钩藤钩,明天麻,茯神
贝母,杏仁,陈皮,牛蒡,石膏,麻黄
半夏,杏仁,豆腐1小块,麻黄,甘草
半夏,莱菔,白芥子,杏仁,茶叶,苏子
半夏,杏仁,马兜铃,巴豆
白萝卜,蜂蜜
贝母,天竺黄,胆南星,桔梗,陈皮,茯神
半夏,当归,桔梗,陈皮,重楼,皂刺
梅花脑,五,牙硝,硼砂,寒水石,麝香
梅花脑,牙消,硼砂,寒水石,麝香,甘草
贝母,枣仁,生地,麦冬,天冬,莲子
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,莱菔,麦芽,白术,陈皮,木香
半夏,天南星,法制消,黄芩,枳实,礞石
半夏,竹茹,旋复花,胆草,黄芩,黄连
贝母,半夏,杏仁,桔梗,陈皮,黄芩
贝母,半夏,地黄,杏仁,紫菀,桔梗
百部,白芥子,紫菀,剖麦冬,苏子,东白薇
贝母,桔梗,陈皮,麦门冬,瓜蒌仁,黄芩
半夏,干姜,陈皮,苍术,川芎,茯苓
半夏,陈皮,苍术,川芎,茯苓,香附
贝母,胆南星,海石,木通,陈皮
半夏,良姜,乌梅,草果,厚朴,青皮
杏仁,葶苈,地龙,牛蒡,羚羊角,丹参
贝母,黄柏,苦参,桔梗,黄芩,知母
贝母,天竺黄,杏仁,紫菀,鱼腥草,陈皮
贝母,杏仁,薏仁,鱼腥草,桔梗,败酱草
昆布,海粉,当归,牙皂,生地,川芎
贝母,当归,海藻,柴胡,丹皮,昆布海带
半夏,白芥子,当归,柴胡,桔梗,苏子
檀香,人参,荆芥,石膏,细辛,薄荷
檀香,四,二,一了,人参,荆芥
檀香,人参,荆芥,石膏,细辛,薄荷
半夏,苍术,瓜蒌仁,黄芩,香附,黄连
贝母,半夏,天南星,白芥子,玄明粉,连翘
半夏,天南星,杏仁,陈皮,瓜蒌仁霜,黄芩
半夏,天南星,莱菔,海粉,牙皂,麦芽
半夏,天南星,杏仁,陈皮,瓜蒌仁,黄芩
贝母,贝母,地骨皮,杏仁,蛤壳,紫菀
半夏,五味子,射干,石膏,麻黄,细辛
贝母,半夏,地黄,泽泻,杏仁,丹皮
半夏,海藻,白芥子,昆布,玄明粉,陈皮
贝母,荷叶蒂,砂仁壳,郁金,杵头糠,丹参
全虫,蜈蚣,僵蚕,蝉衣,炙穿山甲,夜明砂
贝母,地黄,桔梗,陈皮,麦门冬,知母
五倍子,五味子,诃子,甘草
桔梗,百药煎,粉草,紫河车,香附
半夏,天南星,陈皮,黄芩,黄连,甘草
半夏,天南星,陈皮,黄芩,黄连,白矾
半夏,天南星,干姜,天麻,川芎,川乌
半夏,天南星,干姜,天麻,川芎,川乌
天竺黄,萆薢,山甲,白芷,75克,75克
天南星,黑附子,乌头,木香
天南星,蛇含,辰砂,白附子,麝香
蛇胆汁,陈皮
半夏,黑附子,茱萸,当归,柴胡,枣仁
竹茹,桔梗,苏子,陈皮,甘草
文蛤,红芽大戟,续随子,山慈菇,麝香
远志,金箔,铁粉,羚羊角,菖蒲,丹砂
贝母,半夏,杏仁,桔梗,陈皮,干葛
半夏,柴胡,白术,茯苓,白芍,肉桂
贝母,胆南星,远志,连翘,麦冬,陈皮
半夏,陈皮,茯苓,生姜,甘草
香墨,铅霜,黑铅,黄明胶,青黛,百草霜
贝母,半夏,杏仁,苏子,黄芩,山栀
半夏,僵蚕,天麻,槐角子,陈皮,辰砂
天南星,朱砂,琥珀
胆南星,朱砂,黄耆,远志,当归,琥珀
半夏,芍药,远志,玫瑰花,佛手花,厚朴花
海藻,昆布,海带,螵蛸,木香,陈皮
半夏,肉豆蔻,厚朴,山药
半夏,陈皮,吴萸,桃仁,黄连
半夏,白术,陈皮,乌梅肉,枣仁,茯苓
半夏,紫苏,茯苓,厚朴
半夏,升麻,昆布,桔梗,粉葛,连翘
檀香,朱砂,降香,苏合香,藿香,琥珀
檀香,朱砂,降香,苏合香,藿香,莲子心
