蝉壳,白僵蚕,陈皮,羌活,厚朴,茯苓
半夏,杏仁,桔梗,干葛,陈皮,前胡
昆布,海藻,白芥子,桔梗,山茨菇,夏枯草
半夏,昆布,海藻,通草,海蛤粉,白芷
贝母,半夏,昆布,海藻,柴胡,海浮石
昆布,海藻,夏枯草,炒山甲,牡蛎,莪术
昆布,海藻,海带,海红蛤,海马,石燕
海藻,海带,桔梗,海昆布,猪琰子,海蛤
半夏,皂角,血竭,生山甲,生马钱子,甘草
贝母,牡蛎,元参
贝母,乳香,血竭,没药,生黄耆,玄参
海石,杏仁,桔梗,栝楼,连翘,皮硝
半夏,白芥子,柴胡,陈皮,牡蛎,青皮
海藻,元参,红娘子,糯米,牡蛎,甘草
半夏,僵蚕,桔梗,陈皮,栝楼,牡蛎
半夏,茯苓,甘草
半夏,黑附子,陈皮,神曲,菖蒲,茯神
半夏,杏仁,桔梗,陈皮,前胡,枳壳
半夏,桂心,紫菀,杏仁,陈皮,诃子
杏仁,桑白皮,人参,桃仁
杏仁,萝卜子
百部,杏仁,远志,桔梗,陈皮流浸膏,甘草
僵蚕,旋复花,石膏,防风
半夏,旋复花,代赭石,人参,甘草,生姜
半夏,缩砂仁,丁香,草果仁,陈皮,白豆蔻
半夏,桔梗,枳实,陈皮,茱萸,巴霜
竹茹,姜汁3茶匙,柿蒂,陈皮
