半夏,白芥子,柴胡,陈皮,香附,莪术
海藻,元参,红娘子,糯米,牡蛎,甘草
半夏,栝楼,桔梗,僵蚕,元参,陈皮
半夏,茯苓,甘草
半夏,陈皮,黑附子,菖蒲,神曲,人参
半夏,杏仁,桔梗,陈皮,前胡,苏叶
半夏,紫菀,杏仁,桂心,陈皮,诃子
百部,杏仁,远志,桔梗,陈皮流浸膏,甘草
半夏,旋复花,代赭石,人参,生姜,枣仁
半夏,缩砂仁,丁香,陈皮,草果仁,神曲
半夏,桔梗,枳实,琥珀,陈皮,茱萸
竹茹,陈皮,姜汁3茶匙,柿蒂
半夏,栝楼,黄连
半夏,胆南星,朱砂,真珠,脑,人参
贝母,半夏,天南星,朱砂,钩藤,天麻
贝母,天南星,白芥子,朱砂,麦芽,钩藤
朱砂,牙皂,全蝎,丹参,巴豆,当归
天竺黄,天南星,朱砂,麦芽,钩藤,桔梗
贝母,炒二丑,丹参,花粉,珍珠,赤芍
贝母,胆南星,杏仁,桔梗,元参,苏子
贝母,天竺黄,半夏,胆南星,菖蒲,煅青礞石
贝母,天竺黄,半夏,天南星,朱砂,钩藤
天竺黄,半夏,竹茹,藿香,佩兰,菖蒲
陈皮,僵蚕,没药60克苏合油,活白凤仙梗,叶,香橼
白芥子,乳没,姜黄,黑附子,淫羊藿,麻黄
半夏,莱菔,枳实,陈皮,抚芎,香附
半夏,天南星,莪术,芫花
贝母,百部,羊胆干膏,白及,甘草
贝母,五味子,百合,天冬,薏仁,地骨皮
胆南星,远志,当归,淡竹叶,麦门冬,人参
竹茹,远志,钩藤,女贞子,玉竹,菖蒲
天南星,防风
半夏,三,寒水石,白矾
贝母,半夏,紫菀,杏仁,百部,葶苈
半夏,天南星,天麻,僵蚕,陈皮,全蝎
半夏,天南星,远志,辰砂,金箔,天麻
半夏,天南星,朱砂,蜈蚣,僵蚕,白附子
天竺黄,金箔,琥珀,炒白牵牛子,人参,黄连
盐,陈皮,红豆,丁香,缩砂,白豆蔻
天南星,天麻,白附子,地龙,白僵蚕,全蝎
天南星,天麻,白附子,地龙,白僵蚕,全蝎
天南星,僵蚕,天麻,白附子,地龙,全蝎
半夏,党参,黄芪,代赭石,陈皮,白术
