半夏,陈皮,京三棱,黑牵牛,槟榔,青皮
天南星,蜈蚣,蝉壳,朱砂,僵蚕,全蝎
天竺黄,胆南星,朱砂,金箔,僵蚕,全蝎
半夏,天南星,龙脑,金箔,丁香,天麻
半夏,旋覆花,前胡,芍药,甘草,荆芥
半夏,陈皮,当归,茯苓,甘草,熟地
贝母,天南星,半夏,黑山栀,麦芽,葶苈
半夏,天南星,皂角,白矾
白芥子,僵蚕,透骨草,片姜黄,鸡血藤膏,橘络
半夏,天麻,杭白菊,夏枯草,秦艽,白芷
海粉,陈皮,桔梗,瓜蒌仁,香附,青黛
天南星,陈皮,天麻,白芷,肉桂,当归
天南星,远志,僵蚕,全蝎,菖蒲,白附子
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,杏仁,桔梗,陈皮,紫苏,桑叶
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,紫菀,小蓟,桃仁,白芍,甘草
海藻,黄芪,党参,板蓝根,大青叶,柴胡
贝母,陈皮,香附,麦门冬,薄荷,柴胡
贝母,远志,桔梗,广皮,柴胡,赤苓
贝母,半夏,紫菀,款冬花,杏仁,苏子
贝母,半夏,紫菀,款冬花,杏仁,桔梗
贝母,半夏,紫菀,杏仁,陈皮,马兜铃
贝母,杏仁,陈皮,五味子,净金灯,甘草
贝母,半夏,紫菀,款冬花,杏仁,瓜蒌皮
贝母,半夏,紫菀,杏仁,苏子,瓜蒌皮
粳米,陈皮
半夏,莱菔,陈皮,香附,山楂,神曲
半夏,陈皮,枳实,白术
半夏,黑山栀,桔梗,陈皮,黄芩,茯苓
紫菀,鱼腥草,四季青,金荞麦,前胡,甘草
天竺黄,胆南星,朱砂,僵蚕,钩藤,薄荷
杏仁,百合,麦门冬,米仁,五味子,人参
半夏,天南星,苏子,杏仁,白芥子,麦芽
贝母,杏仁,桔梗,片芩,石膏,甘草
半夏,杏仁,1,小枳实,栝楼,石膏
半夏,杏仁,桔梗,陈皮,五味子,桂枝
半夏,草果,广皮,青皮,生姜,人参
半夏,桔梗,黄芩,黄柏,黄连,人参
半夏,桔梗,陈皮,柴胡,黄芩,白芷
半夏,陈皮,香附,粉草,茯苓,益智
半夏,党参,三七,干姜炭,枳实,桂枝
贝母,党参,麦冬,五味子,山药,沙参
紫菀,旋复花,桔梗,陈皮,香附,嫩苏梗
半夏,陈皮,五味子,细辛,茯苓,白术
半夏,竹茹,桔梗,陈皮,香附,柴胡
半夏,竹茹,陈皮,钩藤,枳实,生磁石
杏仁,远志,陈皮,郁金,羚羊粉,琥珀粉
半夏,陈皮,紫苏,北梗,槟榔,辣桂
半夏,远志,紫苏,茯苓,茯神,甘草
半夏,天南星,陈皮,益智仁,白豆蔻,神曲
半夏,紫苏,菖蒲,白芷,茯苓,木香
杏仁,陈皮,玫瑰花,生瓦楞,藕节,刀豆子
半夏,海藻,党参,陈皮,蛇舌草,夏枯草
半夏,桔梗,香附,前胡,枳实,白术
杏仁,款冬花,桔梗,枇杷叶,麦冬,前胡
半夏,昆布,海藻,陈皮,白僵蚕,当归
半夏,竹茹,桔梗,陈皮,当归,茯苓
半夏,陈皮,茅术,茯苓,生姜,甘草
玄明粉,硼砂,柿霜,白粉,薄荷,乌梅肉
胆南星,陈皮,小枳实,苏叶子,蒌子,羚羊
竹茹,焦三仙,陈皮,干青果
胆南星,僵蚕,陈皮,苏合油3毫升,郁金,钩蘑
贝母,海藻,香附,漏芦,元参,柴胡
半夏,黄芩,桂枝,细辛,干姜,白芍
半夏,天南星,桔梗,陈皮,栝楼,辰砂
贝母,半夏,陈皮,柴胡,当归,黄芩
贝母,天南星,半夏,陈皮,栝楼,香附
百部,穿心莲,玉竹,葎草,黄精,白及
半夏,半夏,桔梗,陈皮,紫苏,藿香
杏仁,陈皮,薄荷,桂枝,茯苓,苏叶
杏仁,葶苈,百合,石膏,天冬,木通
半夏,醋2500毫升
款冬花,钟乳粉,川姜,白术,人参,甘草
杏仁,款冬花,甘草,麻黄
陈皮,川朴,榔片,生芍,灵脂,玄胡
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,枳实,黑牵牛,或加旋复花
半夏,京三棱,大腹子,青皮,木香
生龙脑,朱砂,生犀角,麦门冬,石膏,细辛
生龙脑,朱砂,生犀角,麦门冬,石膏,细辛
鸡苏叶,桔梗,龙脑,紫苏,黍粘子,瓜蒌根
半夏,天南星,草龙脑,白矾
半夏,附片,牡蛎,茯苓,白术,白芍
白芥子,杏仁,蛤壳,瓜蒌皮,紫苏,龙延香
白芥子,杏仁,蛤壳,瓜蒌皮,紫苏,青黛
白芥子,杏仁,蛤壳,紫苏,桅子,瓜萎皮
青礞石,硼砂,万年干,石膏
桔梗,细川连,淡条芩,京元参,上广皮,香附
紫菀,杏仁,款冬花,桔梗,紫苏,五味子
粳米,新鲜萝卜约
贝母,莱菔,冰糖,白糖,豆腐皮,白果仁
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
缩砂仁,丁香,巴豆,乌梅,胡椒
杏仁,葶苈,桔梗,陈皮,马兜铃,茯苓
半夏,党参,桔梗,陈皮,前胡,黄芩
半夏,苏子,茯苓,白术,干姜,甘草
半夏,茯苓,白术,干姜,人参,甘草
贝母,萝卜,鲜藕,麦冬,鲜姜,秋梨
半夏,香附,草乌,茴香,细辛,茯苓
莱菔,麦芽,桔梗,果仁,陈皮,制野军
贝母,桔梗,薄荷,元参,花粉,牛蒡
半夏,胆南星,紫菀,款冬花,杏仁,牙皂肉
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,茯苓,白术,人参,甘草
半夏,款冬花,杏仁,苏子,黄芩,甘草
半夏,钩藤钩,清炙草,广红皮,明天麻,川芎
贝母,杏仁,陈皮,牛蒡,石膏,甘草
半夏,杏仁,豆腐1小块,甘草,麻黄
半夏,莱菔,白芥子,杏仁,苏子,陈皮
半夏,杏仁,巴豆,马兜铃
远志,陈皮,罗参,粉草,莲肉,当归
贝母,天竺黄,胆南星,桔梗,陈皮,钩藤
半夏,桔梗,大力子,陈皮,重楼,皂刺
梅花脑,硼砂,牙硝,五,寒水石,麝香
梅花脑,硼砂,牙消,寒水石,麝香,甘草
贝母,莲子,麦冬,枇杷叶,天冬,枣仁
粳米,冰糖,枇杷叶
粳米,冰糖,枇杷叶
半夏,莱菔,麦芽,陈皮,香附,山楂
半夏,天南星,枳实,法制消,黄芩,礞石
半夏,竹茹,胆草,旋复花,黄芩,黄连
贝母,半夏,杏仁,桔梗,陈皮,瓜蒌仁
贝母,半夏,紫菀,杏仁,桔梗,百合
紫菀,白芥子,百部,苏子,东白薇,剖麦冬
贝母,桔梗,陈皮,瓜蒌仁,麦门冬,黄芩
半夏,陈皮,香附,神曲,茯苓,干姜
半夏,陈皮,香附,神曲,茯苓,白芍
贝母,胆南星,海石,陈皮,木通
半夏,乌梅,良姜,草果,青皮,甘草
杏仁,葶苈,地龙,牛蒡,石膏,丹参
贝母,桔梗,前胡,花粉,黄芩,黄柏
贝母,天竺黄,紫菀,杏仁,板蓝根,鱼腥草
贝母,杏仁,桔梗,鱼腥草,败酱草,薏仁
昆布,海粉,牙皂,芦荟,当归,青皮
贝母,海藻,僵蚕,柴胡,昆布海带,夏枯草
半夏,白芥子,苏子,桔梗,蝉衣,柴胡
檀香,薄荷,石膏,细辛,人参,荆芥
檀香,二,四,一了,薄荷,石膏
檀香,薄荷,石膏,细辛,人参,荆芥
半夏,香附,瓜蒌仁,黄芩,黄连,苍术
贝母,半夏,天南星,白芥子,玄明粉,陈皮
半夏,天南星,杏仁,陈皮,枳实,瓜蒌仁霜
半夏,天南星,莱菔,海粉,苏子,麦芽
半夏,天南星,杏仁,陈皮,瓜蒌仁,枳实
贝母,贝母,紫菀,蛤壳,杏仁,北沙参
半夏,石膏,射干,五味子,细辛,甘草
贝母,半夏,杏仁,桔梗,瓜蒌仁,麦门冬
半夏,昆布,海藻,白芥子,玄明粉,陈皮
贝母,郁金,砂仁壳,荷叶蒂,杵头糠,茯苓
蜈蚣,僵蚕,炙穿山甲,全虫,蝉衣,夜明砂
贝母,桔梗,陈皮,麦门冬,花粉,茯苓
百药煎,桔梗,香附,粉草,紫河车
半夏,天南星,陈皮,黄芩,黄连,甘草
半夏,天南星,陈皮,黄芩,黄连,白矾
半夏,天南星,天麻,干姜,川芎,川乌
半夏,天南星,天麻,干姜,川芎,川乌
天竺黄,党参,24克,24克,75克,75克
党参,麦芽,女贞子,香附,丹参,白芍
天南星,黑附子,乌头,木香
天南星,辰砂,蛇含,白附子,麝香
半夏,黑附子,柴胡,茱萸,当归,茯苓
竹茹,苏子,桔梗,陈皮,甘草
红芽大戟,文蛤,山慈菇,续随子,麝香
金箔,远志,菖蒲,铁粉,丹砂,茯苓
贝母,半夏,杏仁,桔梗,陈皮,苏梗
半夏,柴胡,肉桂,茯苓,白术,白芍
贝母,胆南星,远志,陈皮,钩藤,辰砂
半夏,陈皮,茯苓,生姜,甘草
贝母,半夏,杏仁,苏子,黄芩,山栀
半夏,陈皮,僵蚕,槐角子,辰砂,天麻
天南星,朱砂,琥珀
胆南星,朱砂,远志,陈皮,琥珀,五味子
半夏,远志,玫瑰花,佛手花,厚朴花,绿萼梅
昆布,海藻,海带,陈皮,海蛤粉,木香
半夏,厚朴,肉豆蔻,山药
半夏,陈皮,吴萸,桃仁,黄连
半夏,陈皮,乌梅肉,草果,茯苓,白术
半夏,紫苏,茯苓,厚朴
