半夏,桔梗,茯苓,干姜
半夏,天南星,杏仁,陈皮,紫苏,香附
半夏,天南星,白附子,明矾
半夏,天南星,白矾,皂角,生姜
半夏,天南星,干姜,巴豆,枯矾,滑石
半夏,天南星,杏仁,香附,陈皮,紫苏
半夏,杏仁,桔梗,陈皮,葶苈,旋覆花
半夏,桔梗,陈皮,葶苈,紫苏,硼砂
半夏,天南星,陈皮,辰砂,腻粉,皂
半夏,紫菀,杏仁,桔梗,陈皮,葶苈
贝母,紫菀,杏仁,款冬花,陈皮,桔梗
半夏,款冬花,杏仁,桔梗,陈皮,葶苈
檀香,柿霜,紫苏,薄荷,白冰糖,硼砂
半夏,紫菀,杏仁,远志,桔梗,葶苈
天南星,代赭石,直僵蚕,真麝香,赤金箔,节白附
半夏,陈皮,京三棱,黑牵牛,槟榔,木香
天南星,朱砂,蜈蚣,僵蚕,蝉壳,全蝎
天竺黄,胆南星,僵蚕,朱砂,金箔,真麝香
半夏,天南星,天麻,龙脑,金箔,丁香
半夏,芍药,旋覆花,前胡,荆芥,麻黄
半夏,陈皮,当归,茯苓,甘草,熟地
贝母,半夏,天南星,陈皮,瓜蒌仁,桔梗
半夏,天南星,白矾,皂角
白芥子,透骨草,僵蚕,片姜黄,香附,鸡血藤膏
半夏,天麻,秦艽,杭白菊,白芍,夏枯草
海粉,陈皮,桔梗,香附,瓜蒌仁,青黛
天南星,天麻,陈皮,当归,肉桂,白芷
天南星,远志,天麻,僵蚕,菖蒲,白附子
贝母,半夏,杏仁,陈皮,桔梗,紫苏
贝母,杏仁,陈皮,桔梗,紫苏,石膏
贝母,半夏,杏仁,陈皮,桔梗,紫苏
贝母,紫菀,白芍,小蓟,桃仁,甘草
海藻,黄芪,党参,大青叶,板蓝根,柴胡
贝母,陈皮,香附,薄荷,柴胡,当归
贝母,远志,桔梗,柴胡,广皮,银花
贝母,半夏,紫菀,款冬花,杏仁,远志
贝母,半夏,紫菀,款冬花,杏仁,桔梗
贝母,半夏,紫菀,杏仁,陈皮,马兜铃
贝母,杏仁,陈皮,白矾,五味子,净金灯
贝母,半夏,紫菀,款冬花,杏仁,紫苏
贝母,半夏,紫菀,杏仁,陈皮,陈皮
粳米,陈皮
半夏,莱菔,香附,陈皮,神曲,山楂
半夏,陈皮,枳实,白术
半夏,陈皮,桔梗,黑山栀,黄芩,茯苓
紫菀,鱼腥草,四季青,金荞麦,前胡,麻黄
天竺黄,胆南星,僵蚕,天麻,朱砂,钩藤
杏仁,米仁,百合,麦门冬,五味子,人参
半夏,天南星,杏仁,白芥子,陈皮,桔梗
贝母,杏仁,桔梗,片芩,石膏,麻黄
半夏,杏仁,1,栝楼,小枳实,石膏
半夏,杏仁,陈皮,桔梗,当归,白芍
半夏,草果,广皮,生姜,青皮,人参
半夏,桔梗,黄芩,黄柏,人参,黄连
半夏,陈皮,桔梗,柴胡,当归,白芍
半夏,香附,陈皮,粉草,茯苓,人参
半夏,党参,枳实,三七,干姜炭,桂枝
贝母,党参,麦冬,五味子,熟地,山药
紫菀,旋复花,陈皮,桔梗,香附,嫩苏梗
半夏,陈皮,白术,五味子,茯苓,干姜
半夏,竹茹,陈皮,香附,桔梗,麦冬
半夏,竹茹,陈皮,钩藤,枳实,葛根
杏仁,陈皮,远志,琥珀粉,羚羊粉,当归
半夏,陈皮,紫苏,北梗,白术,槟榔
远志,琥珀,郁金,菖蒲,茯苓,人参
半夏,远志,紫苏,茯神,茯苓,甘草
半夏,天南星,陈皮,枳实,益智仁,白豆蔻
半夏,紫苏,菖蒲,白芷,木香,茯苓
杏仁,陈皮,香附,玫瑰花,当归,代赭石
半夏,海藻,党参,陈皮,当归,蛇舌草
半夏,香附,桔梗,枳实,白术,前胡
杏仁,款冬花,桔梗,麦冬,枇杷叶,桑叶
半夏,昆布,海藻,陈皮,当归,白僵蚕
半夏,竹茹,陈皮,桔梗,当归,茯苓
半夏,陈皮,茅术,茯苓,生姜,甘草
玄明粉,硼砂,柿霜,薄荷,白粉,寒水石
胆南星,陈皮,羚羊,小枳实,蒌子,苏叶子
竹茹,陈皮,焦三仙,干青果
胆南星,僵蚕,陈皮,天麻,黑附子,郁金
贝母,海藻,香附,漏芦,柴胡,元参
半夏,黄芩,白芍,桂枝,干姜,细辛
半夏,天南星,陈皮,桔梗,栝楼,枳实
