钟乳粉,款冬花,白术,川姜,人参,甘草
杏仁,款冬花,麻黄,甘草
榔片,灵脂,生芍,川朴,神曲,狗宝,玄胡
半夏,桂,桔梗,枳壳
半夏,天南星,大黄,葶苈,大皂角,白术,黑牵牛
半夏,大腹子,木香,京三棱,青皮
生龙脑,朱砂,栀子,生犀角,阿胶,人参,茯苓
生龙脑,朱砂,栀子,生犀角,阿胶,人参,茯苓
鸡苏叶,桔梗,黍粘子,龙脑,紫苏,瓜蒌根,甘草
半夏,天南星,草龙脑,白矾
半夏,龙骨,附片,白术,白芍,牡蛎,茯苓
白芥子,杏仁,栀子,蛤壳,瓜蒌皮,紫苏,青黛
白芥子,杏仁,栀子,蛤壳,瓜蒌皮,紫苏,青黛
白芥子,杏仁,蛤壳,牛蒡,紫苏,瓜萎皮,丹参
万年干,青礞石,硼砂,石膏
细川连,淡条芩,上广皮,京元参,桔梗,枳壳,香附
紫菀,杏仁,桑白皮,桔梗,款冬花,紫苏,五味子
新鲜萝卜约,粳米
贝母,莱菔,白果仁,豆腐皮,冰糖,白糖
莱菔,粳米
莱菔
贝母,鹅管石,肉桂,款冬花,甘草
缩砂仁,丁香,巴豆,胡椒,乌梅
醋,绿茶
杏仁,葶苈,桔梗,茯苓,陈皮,马兜铃
半夏,葛根,党参,桔梗,陈皮,苏叶,黄芩
半夏,干姜,苏子,白术,茯苓,甘草,人参
半夏,干姜,白术,茯苓,甘草,人参
贝母,鲜姜,秋梨,萝卜,鲜藕,麦冬
半夏,茴香,草乌,香附,茯苓,细辛
莱菔,藿香,桔梗,制野军,麦芽,果仁,茅术
贝母,黄连,桔梗,元参,花粉,薄荷,大黄
半夏,胆南星,川椒,紫菀,款冬花,杏仁,生乌
半夏,茯苓,杏仁,陈皮,甘草
半夏,白术,陈皮,人参,茯苓,甘草
半夏,黄芩,款冬花,杏仁,苏子,桑白皮,厚朴
半夏,菊花,钩藤钩,广红皮,清炙草,茯神,明天麻
贝母,牛蒡,杏仁,陈皮,麻黄,甘草,石膏
半夏,豆腐1小块,杏仁,麻黄,甘草
半夏,莱菔,白芥子,茶叶,诃子,茯苓,杏仁
半夏,巴豆,杏仁,马兜铃
白萝卜,蜂蜜
远志,罗参,黄耆,茯神,陈皮,粉草,莲肉
贝母,天竺黄,枳壳,胆南星,茯神,桔梗,防风
半夏,熟地,当归,桔梗,陈皮,重楼,大力子
梅花脑,牙硝,五,寒水石,硼砂,麝香,甘草
梅花脑,牙消,寒水石,硼砂,麝香,甘草
贝母,生地,玄参,莲子,麦冬,天冬,枣仁
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,莱菔,栀子,黄连,麦芽,陈皮,枳实
半夏,天南星,黄芩,枳实,礞石,法制消
远志,茯神,黄连,菖蒲,麦冬,黄芩,花粉
半夏,竹茹,黄连,旋复花,胆草,黄芩,枳壳
贝母,半夏,黄芩,杏仁,枳壳,瓜蒌仁,桔梗
贝母,半夏,地黄,紫菀,杏仁,桔梗,天门冬
白芥子,紫菀,百部,玄参,牛蒡,苏子,剖麦冬
贝母,栀子,瓜蒌仁,桔梗,陈皮,黄芩,麦门冬
半夏,干姜,陈皮,黄连,栀子,苍术,香附
半夏,黄连,栀子,陈皮,苍术,香附,白芍
贝母,木通,胆南星,海石,陈皮
半夏,良姜,草果,乌梅,厚朴,青皮,甘草
杏仁,葶苈,地龙,牛蒡,丹参,羚羊角,麻黄
贝母,黄柏,苦参,桔梗,花粉,前胡,黄芩
贝母,天竺黄,黄芩,鱼腥草,紫菀,芦根,杏仁
贝母,黄芩,白术,鱼腥草,杏仁,桔梗,败酱草
昆布,海粉,牙皂,当归,黄连,芦荟,青皮
贝母,丹皮,海藻,当归,栀子,僵蚕,柴胡
半夏,白芥子,栀子,当归,柴胡,桔梗,蝉衣
檀香,人参,羌活,薄荷,细辛,防风,甘草
檀香,人参,四,一了,羌活,二,细辛
檀香,人参,羌活,薄荷,细辛,防风,甘草
半夏,黄连,瓜蒌仁,苍术,黄芩,香附
贝母,半夏,天南星,栀子,白芥子,黄连,玄明粉
半夏,天南星,黄芩,杏仁,陈皮,枳实,瓜蒌仁霜
半夏,天南星,莱菔,黄连,海粉,麦芽,瓜蒌仁
半夏,天南星,黄芩,杏仁,瓜蒌仁,陈皮,枳实
贝母,贝母,地骨皮,蛤壳,紫菀,杏仁,北沙参
半夏,细辛,射干,五味子,麻黄,甘草,石膏
贝母,半夏,泽泻,杏仁,瓜蒌仁,桔梗,五味子
半夏,白芥子,黄连,海藻,昆布,玄明粉,青黛
贝母,沙参,丹参,荷叶蒂,砂仁壳,杵头糠,茯苓
僵蚕,蜈蚣,炙穿山甲,全虫,蝉衣,夜明砂
贝母,地黄,桔梗,陈皮,花粉,麦门冬,知母
五倍子,诃子,五味子,甘草
百药煎,桔梗,紫河车,粉草,香附
半夏,天南星,黄连,陈皮,黄芩,甘草
半夏,天南星,黄连,陈皮,黄芩,白矾
半夏,天南星,干姜,天麻,川乌,川芎,甘草
半夏,天南星,干姜,天麻,川乌,川芎,甘草
天竺黄,大黄,党参,萆薢,沉香,蕲蛇,肉桂
天南星,黑附子,乌头,木香
天南星,蛇含,白附子,辰砂,麝香
蛇胆汁,陈皮
半夏,黑附子,柴胡,茱萸,当归,白芍,黄连
竹茹,桔梗,陈皮,苏子,甘草
文蛤,红芽大戟,续随子,山慈菇,麝香
远志,金箔,菖蒲,铁粉,丹砂,人参,茯苓
贝母,半夏,黄芩,桑白皮,杏仁,枳壳,桔梗
半夏,柴胡,白术,肉桂,白芍,茯苓,枳壳
贝母,连翘,胆南星,远志,辰砂,菖蒲,陈皮
半夏,生姜,陈皮,茯苓,甘草
贝母,半夏,黄连,杏仁,黄芩,苏子,山栀
半夏,人参,僵蚕,辰砂,槐角子,陈皮,天麻
天南星,朱砂,琥珀
胆南星,朱砂,远志,黄耆,五味子,陈皮,琥珀
半夏,芍药,远志,玫瑰花,佛手花,厚朴花,绿萼梅
