天南星,朱砂,蜈蚣,蝉壳,僵蚕,全蝎,蛇黄
天竺黄,胆南星,真麝香,朱砂,金箔,僵蚕,全蝎
半夏,天南星,金箔,龙脑,天麻,丁香,犀角
半夏,芍药,旋覆花,前胡,荆芥,甘草,麻黄
半夏,陈皮,当归,茯苓,熟地,甘草
贝母,半夏,天南星,葶苈,瓜蒌仁,桔梗,麦芽
半夏,天南星,皂角,白矾
白芥子,僵蚕,透骨草,片姜黄,橘络,鸡血藤膏,香附
半夏,杭白菊,天麻,牡蛎,秦艽,白芍,夏枯草
海粉,桔梗,陈皮,瓜蒌仁,香附,丹参,黄芩
天南星,陈皮,天麻,当归,肉桂,人参,白芷
天南星,远志,僵蚕,全蝎,天麻,白附子,菖蒲
贝母,半夏,杏仁,桔梗,陈皮,前胡,紫苏
贝母,杏仁,桔梗,陈皮,石膏,黄芩,前胡
贝母,半夏,杏仁,桔梗,陈皮,前胡,紫苏
贝母,紫菀,白芍,小蓟,桃仁,桑白皮,甘草
海藻,党参,黄芪,大青叶,板蓝根,丹参,柴胡
贝母,陈皮,薄荷,麦门冬,香附,柴胡,白芍
贝母,桔梗,远志,广皮,柴胡,银花,赤苓
贝母,半夏,紫菀,款冬花,杏仁,桔梗,远志
贝母,半夏,紫菀,款冬花,杏仁,桔梗,陈皮
贝母,半夏,紫菀,杏仁,陈皮,五味子,马兜铃
贝母,杏仁,陈皮,五味子,净金灯,白矾,米壳
贝母,半夏,紫菀,款冬花,杏仁,桔梗,陈皮
贝母,半夏,紫菀,杏仁,桔梗,陈皮,陈皮
粳米,陈皮
半夏,莱菔,陈皮,香附,神曲,山楂,茯苓
半夏,陈皮,枳实,白术
半夏,桔梗,陈皮,黑山栀,黄芩,茯苓,黄连
紫菀,鱼腥草,四季青,金荞麦,前胡,甘草,枳壳
天竺黄,胆南星,朱砂,僵蚕,羚羊,薄荷,天麻
杏仁,五味子,麦门冬,米仁,百合,人参,知母
半夏,天南星,白芥子,杏仁,桔梗,瓜蒌仁,麦芽
贝母,杏仁,桔梗,片芩,石膏,甘草,知母
半夏,杏仁,1,小枳实,石膏,栝楼,广皮红
半夏,杏仁,桔梗,陈皮,五味子,桂枝,白芍
半夏,广皮,草果,人参,青皮,生姜
半夏,桔梗,黄芩,人参,黄柏,黄连,大黄
半夏,桔梗,陈皮,柴胡,黄芩,当归,白芍
半夏,陈皮,粉草,香附,人参,茯苓,益智
半夏,党参,枳实,三七,牡蛎,桂枝,干姜炭
贝母,党参,五味子,麦冬,山药,熟地,沙参
紫菀,旋复花,桔梗,陈皮,香附,嫩苏梗,白前
半夏,陈皮,五味子,人参,干姜,茯苓,细辛
半夏,竹茹,桔梗,陈皮,枳实,麦冬,香附
半夏,竹茹,陈皮,枳实,丹参,生磁石,钩藤
杏仁,远志,陈皮,羚羊粉,琥珀粉,郁金,佩兰
半夏,陈皮,北梗,紫苏,茯苓,白术,辣桂
半夏,远志,茯神,紫苏,茯苓,甘草,厚朴
半夏,天南星,陈皮,枳实,益智仁,神曲,白豆蔻
半夏,菖蒲,紫苏,茯苓,白芷,木香,厚朴
杏仁,陈皮,玫瑰花,刀豆子,藕节,生瓦楞,代赭石
半夏,海藻,党参,陈皮,当归,夏枯草,蛇舌草
半夏,桔梗,枳实,香附,前胡,人参,茯苓
款冬花,杏仁,桔梗,枇杷叶,麦冬,黄芩,前胡
半夏,昆布,海藻,陈皮,白僵蚕,当归,茯苓
半夏,竹茹,桔梗,陈皮,当归,茯苓,黄连
半夏,陈皮,茅术,茯苓,生姜,甘草,枳壳
玄明粉,硼砂,柿霜,薄荷,白粉,乌梅肉,寒水石
胆南星,陈皮,苏叶子,蒌子,羚羊,小枳实,蒌皮
竹茹,焦三仙,陈皮,干青果
焦三仙,陈皮
