芡实,白芥子,诃黎勒,白术,益智
茯苓,陈皮,菖蒲,花粉,枳实
葛根,茯苓,人参,枳壳,前胡
直僵蚕,猪牙皂角,蜈蚣,天南星,麝香
枳壳,全瓜蒌,薤白,陈皮,生姜
牛蒡,葶苈,苏子,枣仁,贝母
麻黄,杏仁,黑牵牛,防己,葶苈
抚芎,苍术,胆南星,山栀,海石
僵蛹,荆芥,杏仁,连翘,薄荷
没药,贝母,磁石,海藻,乳香
白芥子,红芽大戟,朴消,藤黄,麻黄
蒲黄,当归,款冬花,贝母,白蜜
红芽大戟,山茨菇,麝香,文蛤,雄黄
白术,茯苓,甘草,老生姜,半夏
茯苓,百部,地黄,当归,菖蒲
天南星
蜈蚣,鸡血藤,当归,羌活,白芷
薏仁,瓜瓣,苇茎,桃仁
竹茹,茯苓,枳壳,甘草,陈皮
竹茹,枳实,生姜,甘草,陈皮
干姜,白术,半夏,陈皮
芍药,干姜,十,当归,二十
芍药,干姜,川芎,厚朴,枳壳
生姜汁,韭汁,梨汁10毫升,藕汁,牛乳60毫升
白术,人参,茯苓,砂仁,甘草
白术,茯苓,甘草,党参,半夏
皮硝,小川连,生川军,小枳实,栝楼
柴胡,当归,白芍,贝母,茯苓
黄柏,滑石,天南星,牡蛎,黄芩
沙参,柏仁,贝母,灯心100厘米,玄参
丹皮,生赤芍,生地,桃仁,淡竹沥60毫升
藿香,黄连,神曲,茯苓,枳壳
厚朴,茯苓,羌活,白僵蚕,川芎
干葛,前胡,枳壳,茯苓,甘草
元参,花粉,牡蛎,昆布,白芥子
白芷,通草,龙胆草,海藻,昆布
柴胡,海藻,贝母,当归,元参
生地,昆布,牡蛎,海藻,甘草
海红蛤,海带,昆布,海藻,螵蛸
海带,螵蛸,香附,木香,海蛤
甘草,血竭,半夏,生山甲,皂角
牡蛎,贝母,元参
贝母,没药,龙胆草,血竭,乳香
皮硝,杏仁,连翘,海石,栝楼
柴胡,白芥子,茯苓,白芍,莪术
牡蛎,元参,糯米,甘草,海藻
黄芩,花粉,元参,茯苓,连翘
茯苓,甘草,半夏
麦芽,五味子,山楂
黑附子,菖蒲,神曲,人参,甘草
前胡,茯苓,枳壳,生姜,甘草
桂心,大腹皮,甘草,杏仁,陈皮
杏仁,桑白皮,人参,桃仁
杏仁,萝卜子
百部,陈皮流浸膏,甘草,远志,杏仁
防风,石膏,僵蚕,旋复花
甘草,生姜,人参,旋复花,枣仁
神曲,甘草,白豆蔻,丁香,缩砂仁
干姜,茱萸,黄连,枳实,菖蒲
竹茹,陈皮,柿蒂,姜汁3茶匙
黄连,栝楼,半夏
真珠,麝,茯苓,胆南星,人参
钩藤,水牛角浓缩粉,陈皮,地黄,枳壳
钩藤,白芥子,藿香,山楂,琥珀
钩藤,山楂,茯苓,神曲,甘草
没药,贝母,连翘,乳香,黄连
胆南星,元参,贝母,槟榔,花粉
飞朱砂,菖蒲,麝香,黄连,胆南星
钩藤,枳壳,陈皮,甘草,沉香
牵牛,陈皮,槟榔,甘草
藿香,竹茹,菖蒲,黄芩,栀子
白芥子,淫羊藿,当归,桂枝,乳没
茯苓,山楂,当归,神曲,枳实
芫花,莪术,天南星,半夏
不拘多少,香梗芋艿
甘草,白及,百部,贝母,羊胆干膏
地骨皮,天冬,贝母,薏仁,茯苓
当归,远志,地黄,胆南星,人参
钩藤,竹茹,白芍,菖蒲,女贞子
防风,天南星
白矾,三,寒水石,半夏
甘草,百部,马兜铃,葶苈,贝母
当归,破故纸,杜仲,川乌,天南星
金箔,黄芩,地黄,归身,茯苓
蜈蚣,白附子,白矾,猪牙皂,朱砂
金箔,黄连,琥珀,大黄,炒白牵牛子
生姜,陈皮,红豆,白豆蔻,甘草
没药,白僵蚕,川乌,乳香,草乌
川乌,石膏,防风,白僵蚕,荆芥
没药,白僵蚕,川乌,乳香,草乌
没药,川乌,白附子,天南星,乳香
白术,黄芪,甘草,茯苓,草决明
白芷,贝母
桑叶,蒲黄,甘草,贝母,款冬花
木通,朴消,紫菀,甘草,桔梗
款冬花,紫菀,贝母
桂心,干姜,杏仁,甘草,紫菀
紫苏,麻黄,杏仁,五味子,甘草
桂,白术,紫苏,甘草,人参
木香,白牵牛,葶苈,葶苈,潞州人参
竹黄,白酒
竹茹,茯苓,生姜,陈皮,半夏
白芥子,当归,山楂,白芍,茯苓
秦艽,知母,贝母,款冬花,糯米
皂角,蛤粉
巴霜,滑石,天南星,白附子,腻粉
旱莲草,女贞子,白芍,郁金,当归
白僵蚕,秦艽,甘草,胆南星,白附子
钩藤,车前子,竹茹,茯苓,珍珠母
白前,甘草,紫菀,百部,荆芥
白前,甘草,黄芩,杏仁,葶苈
蒙花,陈皮,天冬,百部,瓜蒌子
地黄,紫苏,款冬花,瓜蒌皮,茯苓
白矾,山楂,白术,枳实,神曲
黄芩,甘草,枳壳,桔梗,半夏
梅花脑,寒水石,脑子,麝香,朱砂
沙参,当归,海藻,急性子,贝母
乌药,水牛角浓缩粉,黄芪,血竭,檀香
