水牛角浓缩粉,白芍,黄芪,郁金,川芎
紫菀,苏子,百部,白芥子,东白薇
贝母,瓜蒌仁,陈皮,知母,麦门冬
半夏,川芎,黄连,陈皮,栀子
半夏,白芍,黄连,川芎,陈皮
贝母,海石,陈皮,木通,胆南星
半夏,草果,良姜,厚朴,乌梅
葶苈,杏仁,丹参,地龙,羚羊角
黄柏,贝母,知母,大黄,桔梗
贝母,紫菀,白前,陈皮,元参
贝母,败酱草,薏仁,白术,杏仁
白芍,海粉,川芎,黄连,当归
贝母,当归,夏枯草,连翘,柴胡
蝉衣,半夏,柴胡,当归,苏子
人参,檀香,荆芥,细辛,羌活
檀香,人参,四,一了,二
人参,檀香,荆芥,细辛,羌活
半夏,黄连,瓜蒌仁,香附,黄芩
天南星,半夏,玄明粉,贝母,大黄
天南星,半夏,黄芩,陈皮,杏仁
天南星,半夏,黄连,莱菔,山楂
天南星,半夏,黄芩,瓜蒌仁,陈皮
紫菀,地骨皮,贝母,贝母,白花蛇舌草
半夏,射干,五味子,麻黄,石膏
半夏,贝母,黄连,地黄,瓜蒌仁
半夏,黄连,川芎,陈皮,白芥子
贝母,郁金,丹参,沙参,茯苓
蝉衣,蜈蚣,炙穿山甲,全虫,夜明砂
贝母,陈皮,知母,麦门冬,桔梗
诃子,五味子,五倍子,甘草
桔梗,香附,百药煎,紫河车,粉草
天南星,半夏,黄连,陈皮,黄芩
天南星,半夏,黄连,陈皮,黄芩
天南星,半夏,川芎,干姜,天麻
天南星,半夏,川芎,干姜,天麻
天竺黄,大黄,山甲,寄生,党参
天南星,黑附子,木香,乌头
天南星,辰砂,麝香,白附子,蛇含
蛇胆汁,陈皮
竹茹,苏子,陈皮,桔梗,甘草
红芽大戟,麝香,文蛤,山慈菇,续随子
远志,人参,羚羊角,铁粉,菖蒲
半夏,贝母,干葛,陈皮,桔梗
半夏,柴胡,白术,白芍,枳壳
远志,贝母,连翘,钩藤,陈皮
半夏,陈皮,生姜,茯苓,甘草
半夏,贝母,黄连,苏子,桑白皮
半夏,辰砂,陈皮,槐角子,人参
天南星,琥珀,朱砂
远志,白芍,胆南星,琥珀,当归
半夏,远志,芍药,佛手花,绿萼梅
螵蛸,陈皮,昆布,木香,海蛤粉
半夏,肉豆蔻,山药,厚朴
半夏,黄连,陈皮,吴萸,桃仁
半夏,草果,白术,人参,陈皮
半夏,紫苏,厚朴,茯苓
半夏,黄连,连翘,天南星片,桔梗
苏合香,檀香,琥珀,藿香,天麻
苏合香,藿香,琥珀,瓜蒌子,金礞石
杏仁,麦蘖,萝卜子,神僸,干漆
山楂,白芥子,莱菔
半夏,天南星,琥珀,川乌,枯矾
远志,马牙消,白僵蚕,升麻,白附子
半夏,草豆蔻,诃子,丁香,干姜
天南星,贝母,半夏,当归,川芎
半夏,葛根,苏叶,陈皮,桔梗
天南星,蜈蚣,猪牙皂角,麝香,直僵蚕
半夏,薤白,厚朴,陈皮,苏梗
葶苈,贝母,陈皮,杏仁,莱菔
葶苈,杏仁,麻黄,防己,黑牵牛
抚芎,海石,栝楼,苍术,青黛
莱菔,杏仁,连翘,夏枯草,僵蛹
没药,乳香,贝母,海藻,蓖麻子肉
红芽大戟,天南星,半夏,朴消,白芥子
贝母,蒲黄,款冬花,黄连,桔梗
红芽大戟,文蛤,朱砂,雄黄,千金子
半夏,白术,天麻,老生姜,茯苓
天门冬,远志,杜仲,黑参,当归
天南星
鸡血藤,白芷,当归,羌活,蜈蚣
瓜瓣,薏仁,苇茎,桃仁
半夏,竹茹,陈皮,枳壳,茯苓
半夏,陈皮,竹茹,生姜,枳实
半夏,白术,陈皮,干姜
半夏,芍药,当归,川芎,白芷
半夏,芍药,川芎,陈皮,厚朴
藕汁,梨汁10毫升,韭汁,牛乳60毫升,生姜汁
半夏,白术,人参,茯苓,木香
半夏,白术,炒广皮,党参,西砂仁
半夏,栝楼,皮硝,生川军,小枳实
天南星,半夏,贝母,柴胡,白术
天南星,半夏,黄柏,川芎,辛夷
贝母,桔梗,麦冬,杏仁,茯神
生姜汁2滴,淡竹沥60毫升,犀角汁20毫升,青连翘,生赤芍
半夏,川芎,黄连,陈皮,藿香
蝉壳,川芎,白僵蚕,厚朴,陈皮
半夏,陈皮,干葛,桑白皮,杏仁
牡蛎,夏枯草,白芥子,元参,桔梗
半夏,枯白矾,白芷,麦曲,海藻
半夏,柴胡,夏枯草,贝母,当归
夏枯草,牡蛎,昆布,炒山甲,生地
螵蛸,昆布,海藻,石燕,海带
螵蛸,莪术,木香,香附,海带
半夏,血竭,皂角,甘草,生马钱子
牡蛎,元参,贝母
贝母,没药,血竭,乳香,生黄耆
海石,栝楼,连翘,杏仁,桔梗
半夏,柴胡,陈皮,白芍,瓜蒌
元参,牡蛎,海藻,糯米,红娘子
半夏,栝楼,连翘,元参,陈皮
半夏,甘草,茯苓
山楂,五味子,麦芽
半夏,人参,黑附子,陈皮,茯神
半夏,陈皮,桔梗,杏仁,前胡
紫菀,桂心,大腹皮,半夏,陈皮
杏仁,桑白皮,人参,桃仁
远志,桔梗,陈皮流浸膏,百部,杏仁
旋复花,僵蚕,石膏,防风
半夏,旋复花,人参,生姜,代赭石
半夏,缩砂仁,白豆蔻,陈皮,丁香
半夏,琥珀,陈皮,官桂,茱萸
陈皮,竹茹,姜汁3茶匙,柿蒂
半夏,黄连,栝楼
半夏,朱砂,真珠,麝,胆南星
天南星,贝母,半夏,水牛角浓缩粉,葛根
天南星,贝母,琥珀,山楂,藿香
天南星,山楂,天竺黄,朱砂,桔梗
贝母,大黄,没药,乳香,炒二丑
贝母,苏子,槟榔,知母,桔梗
半夏,贝母,黄连,胆南星,天竺黄
天南星,贝母,白豆蔻,半夏,大黄
牵牛,槟榔,陈皮,甘草
半夏,黄芩,黄连,藿香,郁金
乳没,桂枝,熟地,淫羊藿,川芎
山楂,半夏,连翘,当归,黄连
天南星,半夏,芫花,莪术
香梗芋艿,不拘多少
白及,贝母,百部,羊胆干膏,甘草
贝母,地骨皮,薏仁,天冬,麦冬
胆南星,远志,淡竹叶,黄耆,黄连
竹茹,远志,玉竹,白芍,柏子仁
天南星,防风
半夏,白矾,寒水石,三
紫菀,百合,半夏,贝母,百部
天南星,半夏,当归,川芎,白术
天南星,半夏,远志,川芎,黄连
天南星,半夏,蜈蚣,雄黄,白附子
天竺黄,大黄,琥珀,黄连,炒白牵牛子
红豆,白豆蔻,陈皮,盐,丁香
天南星,没药,雄黄,白附子,地龙
川芎,白僵蚕,川乌,石膏,荆芥
天南星,没药,雄黄,白附子,地龙
天南星,没药,雄黄,白附子,地龙
半夏,白术,黄芪,陈皮,党参
白芷,贝母
半夏,蒲黄,款冬花,贝母,百合
紫菀,朴消,大黄,木通,桔梗
紫菀,款冬花,贝母
杏仁,桑白皮,青皮,紫苏,麻黄
半夏,桂,白术,紫苏,人参
葶苈,葶苈,木香,潞州人参,始蚧
竹黄,白酒
半夏,陈皮,竹茹,生姜,茯苓
天南星,半夏,白术,陈皮,山楂
秦艽,贝母,款冬花,百部,知母
皂角,蛤粉
天南星,天麻,腻粉,滑石,白附子
茜草,白芍,旱莲草,当归,郁金
半夏,秦艽,白僵蚕,白附子,黄松节
半夏,车前子,夏枯草,竹茹,白术
紫菀,桔梗,陈皮,白前,百部
杏仁,莱菔,苏子,葶苈,胆南星
半夏,贝母,大黄,瓜蒌子,陈皮
紫菀,半夏,瓜蒌皮,款冬花,陈皮
天南星,半夏,白术,山楂,苏子
半夏,桔梗,黄芩,枳壳,甘草
梅花脑,朱砂,脑子,硼砂,寒水石
丹参,贝母,当归,郁金,昆布
油松节,草豆蔻,没药,何首乌,水牛角浓缩粉
