白术,熟地,白芥子,薏仁,芡实
朱砂,麝香,山茨菇,文蛤,红芽大戟
白术,天麻,茯苓,老生姜,半夏
枣仁,菖蒲,杜仲,丹参,黑参
天南星
鸡血藤,地龙,白芷,当归,蜈蚣
瓜瓣,薏仁,桃仁,苇茎
竹茹,茯苓,枳壳,陈皮,半夏
竹茹,陈皮,生姜,半夏,枳实
白术,干姜,半夏,陈皮
芍药,厚朴,干姜,二十,十
芍药,厚朴,桔梗,川归,麻黄
生姜汁,韭汁,梨汁10毫升,藕汁,牛乳60毫升
白术,木香,陈皮2,人参,茯苓
白术,木香,茯苓,党参,半夏
皮硝,小枳实,半夏,生川军,小川连
白术,天南星,贝母,白芍,山慈姑
天南星,苍术,滑石,辛夷,半夏
柏仁,淡竹叶,沙参,丹参,麦冬
桃仁,青连翘,丹皮,生赤芍,犀角汁20毫升
黄连,苍术,神曲,山植,香附
厚朴,陈皮,白僵蚕,茯苓,人参
杏仁,枳壳,桑白皮,陈皮,苏叶
花粉,海藻,昆布,牡蛎,桔梗
龙胆草,白芷,海蛤粉,海藻,昆布
昆布,海藻,青皮,元参,香附
昆布,海藻,莪术,三棱,牡蛎
海带,螵蛸,昆布,海藻,石燕
海带,海藻,香附,三棱,细辛
血竭,生马钱子,半夏,皂角,生山甲
牡蛎,元参,贝母
三棱,玄参,血竭,贝母,莪术
海石,连翘,杏仁,皮硝,栝楼
香附,白芥子,牡蛎,茯苓,青皮
红娘子,海藻,糯米,元参,牡蛎
连翘,山栀,桔梗,陈皮,花粉
茯苓,半夏,甘草
麦芽,山楂,五味子
神曲,枣仁,陈皮,半夏,菖蒲
苏叶,枳壳,杏仁,陈皮,枣仁
紫菀,桂心,诃子,白术,槟榔
桃仁,杏仁,人参,桑白皮
杏仁,萝卜子
陈皮流浸膏,百部,远志,杏仁,桔梗
旋复花,防风,僵蚕,石膏
旋复花,人参,代赭石,半夏,枣仁
缩砂仁,草果仁,陈皮,丁香,神曲
桔梗,黄连,菖蒲,巴霜,干姜
竹茹,陈皮,姜汁3茶匙,柿蒂
黄连,半夏,栝楼
真珠,脑,胆南星,朱砂,半夏
地黄,天南星,水牛角浓缩粉,陈皮,钩藤
蝉蜕,琥珀,白附子,紫苏,天南星
钩藤,天南星,苍术,砂仁,陈皮
炒二丑,银花,连翘,黄连,花粉
麦冬,杏仁,花粉,贝母,桔梗
黄连,菖蒲,贝母,西丹参,胆南星
钩藤,天南星,陈皮,天麻,檀香丹参
陈皮,槟榔,牵牛,甘草
瓜蒌壳,黄连,天竺黄,佩兰,藿香
地龙,陈皮,肉桂,僵蚕,活白凤仙梗
姜黄,麻黄,白芥子,桂枝,淫羊藿
连翘,神曲,莱菔,白术,黄连
天南星,莪术,芫花,半夏
不拘多少,香梗芋艿
羊胆干膏,贝母,百部,甘草,白及
地骨皮,阿胶,天冬,薏仁,贝母
淡竹叶,黄连,地黄,黄耆,麦门冬
钩藤,知母,丹参,竹茹,菖蒲
天南星,防风
寒水石,半夏,三,白矾
葶苈,紫菀,人参,贝母,杏仁
天南星,巴裁,牛膝,天麻,陈皮
金箔,天南星,地黄,天麻,白术
天南星,朱砂,白附子,猪牙皂,蜈蚣
金箔,琥珀,黄连,炒白牵牛子,人参
白豆蔻,陈皮,丁香,缩砂,红豆
天麻,天南星,地龙,白僵蚕,白附子
白僵蚕,荆芥,川乌,石膏,麝香
天麻,天南星,地龙,白僵蚕,白附子
