水牛角浓缩粉,郁金,羚羊角,黄芪,珍珠
杏仁,五味子,麻黄,青皮,桑白皮
半夏,人参,陈皮,甘草,桂
始蚧,白牵牛,潞州人参,木香,葶苈
竹黄,白酒
半夏,茯苓,竹茹,陈皮,生姜
半夏,白芥子,天南星,山楂,苍术
贝母,秦艽,阿胶,百部,杏仁
蛤粉,皂角
天南星,白附子,全蝎,天麻,腻粉
女贞子,茜草,旱莲草,乌贼骨,当归
白附子,胆南星,半夏,白僵蚕,秦艽
半夏,竹茹,夏枯草,菊花,钩藤
甘草,桔梗,紫菀,百部,白前
苏子,白前,莱菔,胆南星,杏仁
贝母,天冬,半夏,前胡,百部
半夏,地黄,紫菀,石膏,陈皮
半夏,山楂,苏子,天南星,麦芽
半夏,桔梗,甘草,黄芩,枳壳
硼砂,梅花脑,朱砂,寒水石,甘草
贝母,丹参,昆布,郁金,当归
僵蚕,水牛角浓缩粉,朱砂,黄连,天竺黄
