橘叶,连翘,甘草,皂角刺,青皮
紫菀,款冬花,杏仁,紫苏,五味子
粳米,新鲜萝卜约
新鲜白萝卜
冰糖,莱菔,贝母,豆腐皮,白果仁
莱菔,粳米
莱菔
款冬花,贝母,肉桂,甘草,鹅管石
丁香,乌梅,缩砂仁,巴豆,胡椒
醋,绿茶
丹参,明矾
茯苓,杏仁,葶苈,陈皮,桔梗
半夏,木香,黄芩,苏叶,茯苓
半夏,干姜,茯苓,甘草,白术
半夏,干姜,甘草,茯苓,白术
贝母,麦冬,萝卜,鲜藕,鲜姜
半夏,草乌,茴香,茯苓,细辛
莱菔,木香,藿香,茅术,甘草
大黄,贝母,山栀,黄连,薄荷
款冬花,杏仁,半夏,胆南星,紫菀
茯苓,杏仁,半夏,甘草,陈皮
半夏,白术,茯苓,甘草,人参
款冬花,杏仁,厚朴,半夏,黄芩
半夏,川芎,菊花,茯神,清炙草
甘草,杏仁,牛蒡,麻黄,石膏
杏仁,半夏,甘草,麻黄,豆腐1小块
莱菔,半夏,杏仁,麻黄,诃子
杏仁,半夏,巴豆,马兜铃
白萝卜,蜂蜜
罗参,当归,远志,黄耆,茯苓
钩藤,薄荷,天竺黄,赤芍,胆南星
半夏,当归,熟地,甘草,茯苓
梅花脑,甘草,寒水石,麝香,硼砂
梅花脑,甘草,牙消,寒水石,硼砂
贝母,枣仁,生地,玄参,麦冬
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
莱菔,木香,半夏,黄连,川芎
天南星,黄芩,半夏,枳实,礞石
远志,黄芩,黄连,丹参,丹参
半夏,黄连,黄芩,旋复花,竹茹
杏仁,瓜蒌仁,黄芩,半夏,前胡
地黄,紫菀,桑白皮,贝母,半夏
百部,紫菀,白芥子,苏子,甘草
贝母,瓜蒌仁,甘草,黄芩,栀子
半夏,干姜,苍术,甘草,黄连
半夏,苍术,白芍,甘草,茯苓
木通,海石,胆南星,贝母,陈皮
半夏,良姜,厚朴,甘草,草果
杏仁,羚羊角,葶苈,丹参,石膏
黄柏,贝母,大黄,苦参,黄芩
天竺黄,芦根,黄芩,白前,紫菀
鱼腥草,白术,黄芩,贝母,杏仁
海粉,当归,白芍,牙皂,黄连
贝母,生地,连翘,柴胡,当归
当归,半夏,白芍,枳实,前胡
檀香,薄荷,羌活,甘草,石膏
檀香,四,羌活,甘草,薄荷
檀香,薄荷,羌活,甘草,石膏
半夏,苍术,瓜蒌仁,黄芩,黄连
连翘,贝母,天南星,半夏,沉香
天南星,黄芩,半夏,枳实,杏仁
牙皂,天南星,莱菔,半夏,黄连
天南星,黄芩,半夏,杏仁,瓜蒌仁
地骨皮,紫菀,全瓜蒌,贝母,贝母
半夏,甘草,五味子,石膏,细辛
贝母,地黄,半夏,五味子,泽泻
半夏,黄连,玄明粉,川芎,海藻
贝母,沙参,茯苓,丹参,荷叶蒂
僵蚕,蜈蚣,全虫,夜明砂,炙穿山甲
地黄,贝母,甘草,花粉,陈皮
五味子,诃子,五倍子,甘草
百药煎,粉草,桔梗,紫河车,香附
天南星,黄连,半夏,黄芩,甘草
天南星,半夏,黄连,黄芩,白矾
干姜,天南星,半夏,天麻,川芎
干姜,天南星,半夏,天麻,川芎
天竺黄,党参,蕲蛇,大黄,沉香
天南星,黑附子,木香,乌头
天南星,麝香,白附子,蛇含,辰砂
蛇胆汁,陈皮
苏子,甘草,竹茹,陈皮,桔梗
麝香,续随子,山慈菇,红芽大戟,文蛤
防风,金箔,羚羊角,远志,人参
羌活,贝母,杏仁,半夏,甘草
半夏,白芍,茯苓,柴胡,白术
连翘,钩藤,胆南星,贝母,天冬
半夏,生姜,茯苓,甘草,陈皮
香墨,黄明胶,铅霜,丹参,百草霜
黄连,贝母,杏仁,山栀,黄芩
半夏,白矾,僵蚕,天麻,辰砂
天南星,琥珀,朱砂
五味子,朱砂,当归,白芍,胆南星
半夏,芍药,茯苓,远志,绿萼梅
木香,海带,海藻,螵蛸,海蛤粉
半夏,厚朴,肉豆蔻,山药
半夏,吴萸,黄连,陈皮,桃仁
半夏,生姜,茯苓,白术,乌梅肉
半夏,厚朴,茯苓,紫苏
半夏,升麻,连翘,黄芩,甘草
檀香,藿香,木香,僵蚕,苏合香
檀香,藿香,苏合香,木香,僵蚕
杏仁,萝卜子,神僸,干漆,麦蘖
莱菔,山楂,白芥子
天南星,半夏,琥珀,羌活,金箔
金箔,银箔,升麻,远志,麝香
半夏,干姜,生姜,诃子,草豆蔻
当归,天南星,川芎,半夏,海藻
半夏,木香,茯苓,苏叶,陈皮
天南星,直僵蚕,蜈蚣,麝香,猪牙皂角
全瓜蒌,半夏,薤白,厚朴,苏梗
莱菔,牛蒡,枣仁,贝母,杏仁
杏仁,葶苈,黑牵牛,麻黄,防己
海石,胆南星,苍术,栝楼,抚芎
莱菔,连翘,杏仁,夏枯草,薄荷
贝母,磁石,没药,海藻,蜣螂虫
天南星,半夏,朴消,僵蚕,麻黄
款冬花,当归,贝母,地黄,蒲黄
麝香,红芽大戟,山茨菇,朱砂,雄黄
半夏,天麻,白术,甘草,茯苓
百部,五味子,当归,黑参,枣仁
天南星
当归,蜈蚣,防风,鸡血藤,地龙
瓜瓣,薏仁,苇茎,桃仁
茯苓,半夏,竹茹,甘草,陈皮
生姜,半夏,枳实,竹茹,陈皮
半夏,干姜,白术,陈皮
半夏,二十,苍术,芍药,干姜
半夏,苍术,芍药,干姜,甘草
韭汁,藕汁,生姜汁,梨汁10毫升,牛乳60毫升
半夏,木香,白术,甘草,茯苓
半夏,木香,甘草,白术,茯苓
半夏,小枳实,小川连,栝楼,皮硝
当归,白芍,贝母,天南星,半夏
天南星,黄柏,半夏,苍术,滑石
