白术,白附子,白芷,白藓皮,柴胡
山药,白芍,钩藤,枸杞,黄芪
赤小豆,白樟柳根,木香,陈皮
肉豆蔻,黑牵牛,甘草,陈皮,陈米
柴胡,苏子,白芍,山药,白术
鲜土豆
茯苓,猪脊骨
白术,香附,青黛,党参,甘草
白术,黄连,白芍,苏叶,猪苓
淫羊藿,山药,白术,肉苁蓉,枸杞
当归,厚朴,白术,草豆蔻,茯苓
干姜,神曲,白芍,白术,秦皮
柴胡,白芍,山药,白术,苍术
麻黄,苍术,益母草,白花蛇舌草,车前子
白术,枸杞,天冬,糯米,黄精
桑白皮,茯苓皮,大腹皮,陈皮,生姜皮
盐,鸡,葱,姜,酒
木香,党参,炒广皮,小川连,清炙草
扁豆,香薷,厚朴
藕粉白糖,木香,砂仁
白砂糖,香橼,砂仁
白术,枳实,砂仁,木香
白术,枳实,砂仁,木香
白术,半夏,甘草,党参,炒广皮
芍药,白术,柴胡,当归,茯苓
白术,白芍,柴胡,薄荷,当归
白术,白芍,柴胡,薄荷,当归
龙骨,白术,川芎,荆芥,白蒺藜
干莲肉,五味子,茯苓,菟丝子
白术,缩砂仁,胡椒,良姜,红豆
干姜,白术,枳实,茯苓
黄连,神曲,枳壳,川芎,苍术
槟榔,山楂,积壳等份,谷芽
白术,神曲,川芎,木香,香附
干姜,神曲,炒乌梅肉,麦芽
大黄,白术,人参,萝卜子,甘草
白术,沉香,苏子,木香,茯苓
白术,白芍,肉桂,人参,半夏
神曲,九肋鳖甲,白术,蓬莪术,白云苓
贝母,血竭,乳香,莪术,牡蛎
白术,干生姜,姜黄,曲,黄连
神曲,莱菔,黄连,苍术,枳壳
半夏,甘草,茯苓
干姜,神曲,半夏,木香,陈皮
神曲,半夏,陈皮,甘草,白豆蔻
白术,花粉,生地,青蒿,知母
山药,小米白糖
茱萸,白胡椒,肉桂,丁香
花粉,滑石,白芷,炒麦芽,猪苓
苍术,茯苓,炒麦芽,六一散,陈皮
枸杞,白藓皮,黑芝麻,川芎,当归
饴糖
扁豆,藿香,人参,白术,茯苓
薏仁
粳米,羊骨左右,细盐,生姜葱白
嫩肥羊肉,糯米,木香,杏仁,曲
山药,肉桂,苍术,良姜,丁皮
诃子,甘草,青皮,陈皮,丁香
白术,龟板胶,人参,阿胶,枣仁
山药,甘草,诃子,青皮,陈皮
山药,甘草,白术,党参,黄芪
阿胶,大黄,党参,炮山甲粉,地鳖虫
白术,白芍,苍术,当归,香附
枳实,竹茹,党参,白术,甘草
白芍,升麻,诃子,干姜,白术
白芍,白术,黄芪,防风,桂枝
地黄,苍术,何首乌,茯苓,地骨皮
地榆,砂仁,甘草,甘草
川芎,白术,柴胡,当归,茯苓
白术,当归,白芍,麦冬,郁金
白术,人参,陈皮,甘草,茯苓
桂圆肉,党参,猫肉
白豆蔻,檀香,木香,藿香,缩砂仁
白果仁,沉香,生姜,木香,砂仁
扁豆,川芎,白芍,人参,当归
