蒲黄,半夏,杏仁,款冬花,阿胶
紫菀,桔梗,白茅根,大黄,朴消
款冬花,贝母,紫菀
杏仁,五味子,麻黄,青皮,桑白皮
白术,桂,半夏,陈皮,甘草
葶苈,葶苈,始蚧,潞州人参,白牵牛
竹黄,白酒
生姜,半夏,茯苓,竹茹,陈皮
半夏,白术,苍术,白芍,枳实
杏仁,糯米,款冬花,贝母,知母
皂角,蛤粉
天南星,白附子,天麻,滑石,芜荑
白芍,青皮,玄参,枸杞,阿胶
半夏,白附子,白僵蚕,黄松节,水瓜
半夏,车前子,白术,枸杞,牛膝
桔梗,百部,紫菀,陈皮,荆芥
杏仁,莱菔,枣仁,黄芩,胆南星
杏仁,半夏,款冬花,蒙花,前胡
半夏,杏仁,款冬花,地黄,知母
杏仁,白术,半夏,麦芽,枳实
半夏,桔梗,黄芩,枳壳,甘草
梅花脑,牙硝,朱砂,脑子,甘草
海藻,当归,昆布,贝母,红花
天竺黄,黄芪,僵蚕,白术,黑附子
