半夏,枣仁,当归,茱萸,人参
竹茹,桔梗,甘草,苏子,陈皮
麝香,续随子,红芽大戟,山慈菇,文蛤
远志,防风,菖蒲,丹砂,金箔
贝母,半夏,苏梗,桑白皮,杏仁
半夏,肉桂,白芍,柴胡,茯苓
贝母,菖蒲,钩藤,元参,麦冬
半夏,生姜,甘草,茯苓,陈皮
腻粉,水银,黑铅,百草霜,香墨
贝母,半夏,苏子,杏仁,桑白皮
半夏,荆芥,天麻,槐角子,人参
天南星,琥珀,朱砂
琥珀,甘草,五味子,肉桂,朱砂
半夏,芍药,茯苓,甘草,远志
螵蛸,昆布,木香,海藻,陈皮
半夏,肉豆蔻,厚朴,山药
半夏,黄连,陈皮,吴萸,桃仁
半夏,枣仁,草果,乌梅肉,茯苓
厚朴,半夏,紫苏,茯苓
半夏,昆布,黄芩,莪术,升麻
藿香,琥珀,僵蚕,降香,苏合香
藿香,降香,僵蚕,琥珀,苏合香
麦蘖,杏仁,萝卜子,三棱,干漆
白芥子,莱菔,山楂
琥珀,天南星,半夏,枯矾,川乌
远志,升麻,银箔,金箔,白附子
丁香,半夏,草豆蔻,生姜,干姜
当归,天南星,贝母,黄芩,半夏
葛根,半夏,麻黄,桔梗,木香
天南星,猪牙皂角,麝香,蜈蚣,直僵蚕
半夏,苏梗,全瓜蒌,麦芽,厚朴
枣仁,贝母,莱菔,杏仁,葶苈
杏仁,葶苈,麻黄,防己,黑牵牛
栝楼,海石,苍术,香附,山栀
莱菔,杏仁,僵蛹,荆芥,连翘
贝母,磁石,乳香,海藻,没药
麻黄,天南星,白芥子,半夏,红芽大戟
贝母,地黄,蒲黄,杏仁,当归
朱砂,雄黄,文蛤,红芽大戟,千金子
半夏,老生姜,天麻,白术,甘草
菖蒲,桔梗,远志,五味子,地黄
天南星
地龙,鸡血藤,蜈蚣,川芎,赤芍
桃仁,薏仁,瓜瓣,苇茎
半夏,甘草,竹茹,枳壳,陈皮
